City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bella Vista,US,77.61,clear sky,36.4295,-94.2316,The Inn at Bella Vista
11,Diffa,NE,85.06,broken clouds,13.3154,12.6113,ProDAF/Diffa
16,Sinnamary,GF,78.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Uri,IN,76.6,moderate rain,34.0833,74.0333,Mashkoor naik home
24,Kapoeta,SS,75.24,broken clouds,4.7717,33.5903,Eastgate Hotel
26,Hithadhoo,MV,83.61,broken clouds,-0.6,73.0833,Scoop Guest House
27,Hirara,JP,85.42,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
28,Sao Felix Do Xingu,BR,78.93,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
31,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
33,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
37,Manaure,CO,81.3,scattered clouds,11.7751,-72.4445,Hotel Palaaima
38,Nizwa,OM,86.11,overcast clouds,22.9333,57.5333,Orient Apartments
39,Rikitea,PF,75.18,scattered clouds,-23.1203,-134.9692,People ThankYou
42,Butaritari,KI,82.33,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
47,Kalmunai,LK,84.79,broken clouds,7.4167,81.8167,VS Villa
48,Atuona,PF,78.01,few clouds,-9.8,-139.0333,Villa Enata
49,Hobyo,SO,75.79,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
50,Cockburn Town,TC,81.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
51,Fairbanks,US,78.93,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
52,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
54,Alugan,PH,84.07,broken clouds,12.2188,125.4808,JM Lodge
56,Matara,LK,82.22,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
60,West Odessa,US,89.01,broken clouds,31.8424,-102.4988,Corporate Mobile Housing
63,Vanimo,PG,87.44,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
69,Manavalakurichi,IN,80.28,overcast clouds,8.1333,77.3,Jebinrio home
87,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Naze,JP,83.5,overcast clouds,28.3667,129.4833,Shishime Hotel
96,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
99,Shimoda,JP,75.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
102,Fomboni,KM,77.38,scattered clouds,-12.28,43.7425,Auberge les abou
103,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
104,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
107,Sampit,ID,84.81,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
114,Ust-Tsilma,RU,75.27,clear sky,65.441,52.1498,U Praskov'i
117,Kapit,MY,75.63,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
120,Itaituba,BR,77.97,broken clouds,-4.2761,-55.9836,Hotel Campos
121,Portland,US,82.22,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
122,Lorengau,PG,85.41,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
128,Kavieng,PG,84.92,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
133,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Green leaf
143,Shetpe,KZ,87.06,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
145,Bharatpur,IN,95.14,few clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
148,Tulum,MX,80.29,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
149,Bengkulu,ID,79.23,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
153,Asyut,EG,76.89,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
156,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
157,Bethel,US,77.49,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
164,Helong,CN,77.11,overcast clouds,42.5397,128.9972,Helong Hotel
165,Dingle,PH,86.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
167,Katsuura,JP,77.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
168,Amarwara,IN,77.18,overcast clouds,22.3,79.1667,Prasiya Chat Bhandaar Amareara
171,Amga,RU,75.94,overcast clouds,60.8953,131.9608,Algys
180,Laguna,US,88.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
187,Karwar,IN,78.44,moderate rain,14.8,74.1333,Netalco Connects
191,Turbat,PK,84.45,broken clouds,26.0023,63.044,Mubashar Quarters
194,Corn Island,NI,80.73,overcast clouds,12.1694,-83.0418,Big Fish Guest House
195,Faanui,PF,78.82,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Chifeng,CN,90.07,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
202,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
209,Lazaro Cardenas,MX,80.73,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
213,Empalme,MX,88.05,few clouds,27.9667,-110.8167,Casa de la mary
216,Singaraja,ID,83.23,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
222,Pemangkat,ID,78.94,light rain,1.1667,108.9667,Ramah Kost KITA
223,Coahuayana,MX,78.76,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
225,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
230,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
235,Lillooet,CA,78.42,clear sky,50.6856,-121.942,Hotel Victoria
237,Dhidhdhoo,MV,82.06,overcast clouds,6.8833,73.1,Dhidhoo beach
238,Cabatuan,PH,86.09,overcast clouds,10.8794,122.486,MVC Transient Room
241,Sanlucar La Mayor,ES,79.77,scattered clouds,37.3871,-6.2011,Exe Gran Hotel Solucar
244,Ushtobe,KZ,78.21,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
245,Iralaya,HN,79.5,few clouds,15.0,-83.2333,Iglesia morava renovada
251,Corrales,US,79.05,thunderstorm,35.2378,-106.6067,Quality Inn
254,Cape Canaveral,US,85.06,few clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
255,Tela,HN,78.15,broken clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
256,Mambajao,PH,84.99,overcast clouds,9.2504,124.7156,SomeWhere Else boutique resort
264,Kilindoni,TZ,76.35,clear sky,-7.9139,39.6668,Bustani B&B
268,Mitsamiouli,KM,76.57,light rain,-11.3847,43.2844,Foyer ADM
273,Hohhot,CN,82.69,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
277,Avanigadda,IN,79.39,overcast clouds,16.0215,80.9181,AP Camping
278,Diu,IN,81.43,light rain,20.7141,70.9822,Hotel Relax Inn
280,Salinopolis,BR,77.29,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
282,Mucurapo,TT,80.26,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
290,Qunduz,AF,86.86,clear sky,36.729,68.857,Spin Zar cotton company
292,Nara,JP,88.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
294,Damghan,IR,76.23,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
295,San Patricio,US,86.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Kawalu,ID,81.55,overcast clouds,-7.3817,108.2082,West Jontor
297,Anan,JP,89.38,overcast clouds,33.9167,134.65,Royal Garden Hotel
298,Waingapu,ID,81.0,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
299,Bilma,NE,88.52,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
300,Tura,IN,84.85,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
301,San Policarpo,PH,84.15,broken clouds,12.1791,125.5072,Agapita M. Nicart
305,Fukue,JP,80.46,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
306,Sulangan,PH,83.95,scattered clouds,11.1373,123.7228,Maia's Beach Resort
314,Doha,QA,94.98,clear sky,25.2867,51.5333,Doha Marriott Hotel
315,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
322,Pandan,PH,86.94,overcast clouds,14.0453,124.1694,Bonifacio Lodge
325,Akyab,MM,83.03,broken clouds,20.15,92.9,Hotel Memory
328,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
330,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
332,Baeza,ES,75.27,clear sky,37.9938,-3.471,Hotel TRH Baeza
