City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yelizovo,RU,2022-07-12 22:47:43,53.1873,158.3805,62.74,93,100,7.0
1,Albany,US,2022-07-12 22:42:51,42.6001,-73.9662,84.02,63,21,1.99
2,Nanortalik,GL,2022-07-12 22:47:44,60.1432,-45.2371,42.66,88,25,9.46
3,Kohlu,PK,2022-07-12 22:44:27,29.8962,69.252,81.46,65,38,5.21
4,Beyneu,KZ,2022-07-12 22:43:52,45.3167,55.2,85.19,32,0,8.12
5,Mezhdurechensk,RU,2022-07-12 22:47:44,53.6942,88.0603,51.71,93,17,2.59
6,Sao Joao Da Barra,BR,2022-07-12 22:47:45,-21.6403,-41.0511,73.04,83,87,20.27
7,Carnarvon,AU,2022-07-12 22:43:51,-24.8667,113.6333,65.32,70,0,6.46
8,Yulara,AU,2022-07-12 22:47:46,-25.2406,130.9889,44.31,69,0,8.41
9,Tecoanapa,MX,2022-07-12 22:47:46,16.5167,-98.75,86.11,71,36,11.16
10,Ushuaia,AR,2022-07-12 22:46:05,-54.8,-68.3,37.06,87,75,12.66
11,Ribeira Grande,PT,2022-07-12 22:47:47,38.5167,-28.7,70.61,91,97,9.31
12,Mar Del Plata,AR,2022-07-12 22:47:47,-38.0023,-57.5575,48.09,68,40,11.99
13,Kati,ML,2022-07-12 22:47:48,12.7441,-8.0726,80.01,64,34,4.88
14,New Norfolk,AU,2022-07-12 22:47:48,-42.7826,147.0587,44.92,86,56,1.01
15,Stillwater,US,2022-07-12 22:45:24,36.1156,-97.0584,94.55,37,58,1.01
16,Rikitea,PF,2022-07-12 22:47:49,-23.1203,-134.9692,75.0,75,10,14.61
17,Tabou,CI,2022-07-12 22:47:49,4.423,-7.3528,75.79,81,100,10.13
18,Hermanus,ZA,2022-07-12 22:47:50,-34.4187,19.2345,52.61,82,2,9.04
19,Kapaa,US,2022-07-12 22:46:32,22.0752,-159.319,82.72,68,20,13.8
20,Nassau,US,2022-07-12 22:47:50,40.7507,-73.5829,85.23,75,0,20.71
21,Mabaruma,GY,2022-07-12 22:45:10,8.2,-59.7833,75.09,97,93,4.47
22,Punta Arenas,CL,2022-07-12 22:44:56,-53.15,-70.9167,33.91,93,100,9.22
